"","time","sim.num","s.num","i.num","r.num","num","si.flow","ir.flow"
"132",132,500,0,191.222222222222,308.777777777778,500,0,2.44444444444444
"133",133,500,0,188.888888888889,311.111111111111,500,0,2.33333333333333
"134",134,500,0,186.555555555556,313.444444444444,500,0,2.33333333333333
"135",135,500,0,184.222222222222,315.777777777778,500,0,2.33333333333333
"136",136,500,0,182,318,500,0,2.22222222222222
"137",137,500,0,180.444444444444,319.555555555555,500,0,1.55555555555556
"138",138,500,0,179,321,500,0,1.44444444444444
"139",139,500,0,177.111111111111,322.888888888889,500,0,1.88888888888889
"140",140,500,0,174.777777777778,325.222222222222,500,0,2.33333333333333
"141",141,500,0,173.222222222222,326.777777777778,500,0,1.55555555555556
"142",142,500,0,171.222222222222,328.777777777778,500,0,2
"143",143,500,0,169.888888888889,330.111111111111,500,0,1.33333333333333
"144",144,500,0,168.777777777778,331.222222222222,500,0,1.11111111111111
"145",145,500,0,166.666666666667,333.333333333333,500,0,2.11111111111111
"146",146,500,0,165.222222222222,334.777777777778,500,0,1.44444444444444
"147",147,500,0,163,337,500,0,2.22222222222222
"148",148,500,0,160.777777777778,339.222222222222,500,0,2.22222222222222
"149",149,500,0,158.666666666667,341.333333333333,500,0,2.11111111111111
"150",150,500,0,156.777777777778,343.222222222222,500,0,1.88888888888889
"151",151,500,0,154.777777777778,345.222222222222,500,0,2
"152",152,500,0,153.888888888889,346.111111111111,500,0,0.888888888888889
"153",153,500,0,152.333333333333,347.666666666667,500,0,1.55555555555556
"154",154,500,0,150.333333333333,349.666666666667,500,0,2
"155",155,500,0,148.666666666667,351.333333333333,500,0,1.66666666666667
"156",156,500,0,147.444444444444,352.555555555556,500,0,1.22222222222222
"157",157,500,0,145.888888888889,354.111111111111,500,0,1.55555555555556
"158",158,500,0,144.333333333333,355.666666666667,500,0,1.55555555555556
"159",159,500,0,143,357,500,0,1.33333333333333
"160",160,500,0,142,358,500,0,1
"161",161,500,0,140.666666666667,359.333333333333,500,0,1.33333333333333
"162",162,500,0,139.222222222222,360.777777777778,500,0,1.44444444444444
"163",163,500,0,137.444444444444,362.555555555556,500,0,1.77777777777778
"164",164,500,0,136.666666666667,363.333333333333,500,0,0.777777777777778
"165",165,500,0,135.777777777778,364.222222222222,500,0,0.888888888888889
"166",166,500,0,135.111111111111,364.888888888889,500,0,0.666666666666667
"167",167,500,0,133.666666666667,366.333333333333,500,0,1.44444444444444
"168",168,500,0,132.666666666667,367.333333333333,500,0,1
"169",169,500,0,131.333333333333,368.666666666667,500,0,1.33333333333333
"170",170,500,0,130.777777777778,369.222222222222,500,0,0.555555555555555
"171",171,500,0,130.111111111111,369.888888888889,500,0,0.666666666666667
"172",172,500,0,128.777777777778,371.222222222222,500,0,1.33333333333333
"173",173,500,0,127.777777777778,372.222222222222,500,0,1
"174",174,500,0,125.888888888889,374.111111111111,500,0,1.88888888888889
"175",175,500,0,124.555555555556,375.444444444444,500,0,1.33333333333333
"176",176,500,0,123,377,500,0,1.55555555555556
"177",177,500,0,121.666666666667,378.333333333333,500,0,1.33333333333333
"178",178,500,0,121.111111111111,378.888888888889,500,0,0.555555555555555
"179",179,500,0,120.444444444444,379.555555555556,500,0,0.666666666666667
"180",180,500,0,119,381,500,0,1.44444444444444
"181",181,500,0,118.333333333333,381.666666666667,500,0,0.666666666666667
"182",182,500,0,116.222222222222,383.777777777778,500,0,2.11111111111111
"183",183,500,0,114.555555555556,385.444444444444,500,0,1.66666666666667
"184",184,500,0,113.888888888889,386.111111111111,500,0,0.666666666666667
"185",185,500,0,112.555555555556,387.444444444444,500,0,1.33333333333333
"186",186,500,0,111.222222222222,388.777777777778,500,0,1.33333333333333
"187",187,500,0,109.777777777778,390.222222222222,500,0,1.44444444444444
"188",188,500,0,108.888888888889,391.111111111111,500,0,0.888888888888889
"189",189,500,0,107.888888888889,392.111111111111,500,0,1
"190",190,500,0,106.666666666667,393.333333333333,500,0,1.22222222222222
"191",191,500,0,106,394,500,0,0.666666666666667
"192",192,500,0,104.666666666667,395.333333333333,500,0,1.33333333333333
"193",193,500,0,103.777777777778,396.222222222222,500,0,0.888888888888889
"194",194,500,0,102.777777777778,397.222222222222,500,0,1
"195",195,500,0,101.555555555556,398.444444444445,500,0,1.22222222222222
"196",196,500,0,100.444444444444,399.555555555556,500,0,1.11111111111111
"197",197,500,0,99.2222222222222,400.777777777778,500,0,1.22222222222222
"198",198,500,0,97.5555555555555,402.444444444445,500,0,1.66666666666667
"199",199,500,0,96.4444444444444,403.555555555556,500,0,1.11111111111111
"200",200,500,0,95.7777777777778,404.222222222222,500,0,0.666666666666667
