"","time","sim.num","sim.num.g2","s.num","i.num","r.num","num","s.num.g2","i.num.g2","r.num.g2","num.g2","si.flow","si.flow.g2","ir.flow","ir.flow.g2"
"59",59,250,250,7,62.1111111111111,180.888888888889,250,1,182.666666666667,66.3333333333333,250,0.444444444444444,0.222222222222222,2.77777777777778,1.44444444444444
"60",60,250,250,6.44444444444445,60,183.555555555556,250,0.888888888888889,181.444444444444,67.6666666666667,250,0.555555555555555,0.111111111111111,2.66666666666667,1.33333333333333
"61",61,250,250,5.55555555555556,58,186.444444444444,250,0.555555555555555,180,69.4444444444444,250,0.888888888888889,0.333333333333333,2.88888888888889,1.77777777777778
"62",62,250,250,5.11111111111111,55.5555555555556,189.333333333333,250,0.555555555555555,178.888888888889,70.5555555555555,250,0.444444444444444,0,2.88888888888889,1.11111111111111
"63",63,250,250,4.88888888888889,52.4444444444444,192.666666666667,250,0.555555555555555,177.555555555556,71.8888888888889,250,0.222222222222222,0,3.33333333333333,1.33333333333333
"64",64,250,250,4.44444444444444,50.3333333333333,195.222222222222,250,0.555555555555555,175.888888888889,73.5555555555556,250,0.444444444444444,0,2.55555555555556,1.66666666666667
"65",65,250,250,4.11111111111111,48.5555555555556,197.333333333333,250,0.555555555555555,173.777777777778,75.6666666666667,250,0.333333333333333,0,2.11111111111111,2.11111111111111
"66",66,250,250,3.66666666666667,47,199.333333333333,250,0.444444444444444,172.111111111111,77.4444444444444,250,0.444444444444444,0.111111111111111,2,1.77777777777778
"67",67,250,250,3.44444444444444,45.6666666666667,200.888888888889,250,0.444444444444444,171,78.5555555555555,250,0.222222222222222,0,1.55555555555556,1.11111111111111
"68",68,250,250,3.33333333333333,44.2222222222222,202.444444444444,250,0.444444444444444,169.444444444444,80.1111111111111,250,0.111111111111111,0,1.55555555555556,1.55555555555556
"69",69,250,250,3,41.3333333333333,205.666666666667,250,0.333333333333333,167.666666666667,82,250,0.333333333333333,0.111111111111111,3.22222222222222,1.88888888888889
"70",70,250,250,2.66666666666667,39.8888888888889,207.444444444444,250,0.333333333333333,166.555555555556,83.1111111111111,250,0.333333333333333,0,1.77777777777778,1.11111111111111
"71",71,250,250,2.66666666666667,38.1111111111111,209.222222222222,250,0.333333333333333,164.666666666667,85,250,0,0,1.77777777777778,1.88888888888889
"72",72,250,250,2.33333333333333,36.4444444444444,211.222222222222,250,0.222222222222222,163.222222222222,86.5555555555556,250,0.333333333333333,0.111111111111111,2,1.55555555555556
"73",73,250,250,2,35.4444444444444,212.555555555556,250,0.222222222222222,161.777777777778,88,250,0.333333333333333,0,1.33333333333333,1.44444444444444
"74",74,250,250,2,33.5555555555556,214.444444444444,250,0.111111111111111,160.555555555556,89.3333333333333,250,0,0.111111111111111,1.88888888888889,1.33333333333333
"75",75,250,250,1.77777777777778,31.6666666666667,216.555555555556,250,0.111111111111111,159.333333333333,90.5555555555556,250,0.222222222222222,0,2.11111111111111,1.22222222222222
"76",76,250,250,1.66666666666667,29.8888888888889,218.444444444444,250,0.111111111111111,157.666666666667,92.2222222222222,250,0.111111111111111,0,1.88888888888889,1.66666666666667
"77",77,250,250,1.11111111111111,29.3333333333333,219.555555555556,250,0.111111111111111,156.777777777778,93.1111111111111,250,0.555555555555555,0,1.11111111111111,0.888888888888889
"78",78,250,250,1.11111111111111,27.3333333333333,221.555555555556,250,0.111111111111111,154.444444444444,95.4444444444444,250,0,0,2,2.33333333333333
"79",79,250,250,1.11111111111111,25.5555555555556,223.333333333333,250,0.111111111111111,153,96.8888888888889,250,0,0,1.77777777777778,1.44444444444444
"80",80,250,250,1.11111111111111,24.4444444444444,224.444444444444,250,0.111111111111111,151.555555555556,98.3333333333333,250,0,0,1.11111111111111,1.44444444444444
"81",81,250,250,1.11111111111111,23.4444444444444,225.444444444444,250,0,150.444444444444,99.5555555555556,250,0,0.111111111111111,1,1.22222222222222
"82",82,250,250,0.888888888888889,22.6666666666667,226.444444444444,250,0,148.777777777778,101.222222222222,250,0.222222222222222,0,1,1.66666666666667
"83",83,250,250,0.888888888888889,21.3333333333333,227.777777777778,250,0,147.555555555556,102.444444444444,250,0,0,1.33333333333333,1.22222222222222
"84",84,250,250,0.888888888888889,19.7777777777778,229.333333333333,250,0,145.777777777778,104.222222222222,250,0,0,1.55555555555556,1.77777777777778
"85",85,250,250,0.888888888888889,19.2222222222222,229.888888888889,250,0,144.222222222222,105.777777777778,250,0,0,0.555555555555555,1.55555555555556
"86",86,250,250,0.888888888888889,18.2222222222222,230.888888888889,250,0,142.555555555556,107.444444444444,250,0,0,1,1.66666666666667
"87",87,250,250,0.888888888888889,17.7777777777778,231.333333333333,250,0,141.111111111111,108.888888888889,250,0,0,0.444444444444444,1.44444444444444
"88",88,250,250,0.888888888888889,16.8888888888889,232.222222222222,250,0,140.222222222222,109.777777777778,250,0,0,0.888888888888889,0.888888888888889
"89",89,250,250,0.888888888888889,15.8888888888889,233.222222222222,250,0,138.666666666667,111.333333333333,250,0,0,1,1.55555555555556
"90",90,250,250,0.888888888888889,15.2222222222222,233.888888888889,250,0,136.555555555556,113.444444444444,250,0,0,0.666666666666667,2.11111111111111
"91",91,250,250,0.888888888888889,14.7777777777778,234.333333333333,250,0,135.444444444444,114.555555555556,250,0,0,0.444444444444444,1.11111111111111
